class,10,40,50,60,1140,1160,1180,1280,1281,1300,1301,1302,1320,1560,1940,2060,2220,2280,2403,2462,2522,2582,2583,2585,2705,2905,2910
10,0.52,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.02,0.00,0.00,0.00,0.08,0.01
40,0.03,0.61,0.00,0.01,0.03,0.04,0.01,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.10,0.00,0.00,0.00,0.00,0.01,0.01
50,0.00,0.05,0.49,0.05,0.02,0.01,0.00,0.01,0.02,0.03,0.00,0.01,0.00,0.01,0.00,0.00,0.04,0.00,0.00,0.00,0.07,0.07,0.01,0.03,0.04,0.01,0.00
60,0.00,0.01,0.14,0.69,0.00,0.00,0.00,0.00,0.05,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.03,0.01,0.01,0.01,0.00,0.00,0.01
1140,0.00,0.02,0.02,0.00,0.70,0.04,0.03,0.06,0.02,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.02,0.01,0.00,0.00,0.01,0.00,0.00,0.00
1160,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1180,0.02,0.02,0.00,0.00,0.11,0.01,0.59,0.01,0.08,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.00,0.01,0.00,0.01,0.00,0.01,0.00
1280,0.00,0.01,0.00,0.00,0.09,0.01,0.01,0.45,0.08,0.03,0.00,0.07,0.06,0.02,0.01,0.01,0.05,0.01,0.00,0.00,0.01,0.02,0.00,0.03,0.01,0.00,0.00
1281,0.02,0.05,0.02,0.01,0.03,0.04,0.03,0.09,0.40,0.02,0.01,0.03,0.02,0.01,0.01,0.03,0.02,0.00,0.03,0.03,0.03,0.03,0.00,0.02,0.00,0.01,0.00
1300,0.01,0.02,0.04,0.01,0.01,0.00,0.00,0.11,0.01,0.54,0.00,0.03,0.02,0.03,0.00,0.00,0.04,0.01,0.00,0.00,0.00,0.02,0.01,0.04,0.04,0.00,0.00
1301,0.00,0.01,0.02,0.00,0.04,0.00,0.00,0.00,0.04,0.03,0.59,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.00,0.02,0.00,0.06,0.01,0.02,0.06,0.00,0.00
1302,0.00,0.00,0.03,0.00,0.02,0.00,0.00,0.08,0.03,0.03,0.01,0.43,0.04,0.04,0.01,0.00,0.06,0.03,0.00,0.00,0.00,0.04,0.02,0.08,0.05,0.00,0.00
1320,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.06,0.01,0.00,0.01,0.05,0.59,0.03,0.02,0.00,0.05,0.02,0.00,0.00,0.00,0.02,0.03,0.07,0.01,0.00,0.00
1560,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.01,0.01,0.09,0.56,0.03,0.00,0.07,0.01,0.00,0.00,0.00,0.03,0.07,0.03,0.03,0.00,0.00
1940,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.82,0.00,0.04,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00
2060,0.01,0.01,0.00,0.01,0.02,0.01,0.00,0.03,0.02,0.01,0.01,0.02,0.03,0.01,0.02,0.65,0.03,0.03,0.01,0.01,0.00,0.03,0.01,0.03,0.01,0.01,0.00
2220,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.04,0.01,0.01,0.01,0.02,0.07,0.09,0.04,0.01,0.48,0.02,0.01,0.01,0.00,0.03,0.06,0.03,0.03,0.00,0.00
2280,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.01,0.01,0.00,0.03,0.03,0.00,0.05,0.69,0.00,0.01,0.00,0.01,0.03,0.03,0.04,0.00,0.00
2403,0.02,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.11,0.00,0.00,0.00,0.00,0.00,0.01,0.00
2462,0.04,0.01,0.00,0.00,0.02,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.74,0.04,0.01,0.00,0.00,0.00,0.01,0.00
2522,0.01,0.05,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.00,0.00,0.02,0.01,0.00,0.00,0.01,0.00,0.00,0.02,0.76,0.02,0.00,0.01,0.01,0.00,0.00
2582,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.00,0.01,0.02,0.03,0.01,0.01,0.03,0.01,0.00,0.02,0.01,0.72,0.01,0.03,0.01,0.00,0.00
2583,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.02,0.02,0.12,0.01,0.00,0.08,0.00,0.00,0.00,0.00,0.04,0.60,0.03,0.04,0.00,0.00
2585,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.02,0.01,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.03,0.01,0.79,0.04,0.00,0.00
2705,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.01,0.01,0.07,0.01,0.04,0.01,0.04,0.00,0.00,0.06,0.02,0.00,0.00,0.00,0.03,0.06,0.05,0.53,0.00,0.00
2905,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.06,0.04,0.00,0.00,0.00,0.00,0.00,0.78,0.00
2910,0.01,0.02,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.02,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.91
