class,10,40,50,60,1140,1160,1180,1280,1281,1300,1301,1302,1320,1560,1940,2060,2220,2280,2403,2462,2522,2582,2583,2585,2705,2905,2910
10,4.30e+02,3.80e+01,2.00e+00,0.00e+00,4.00e+00,5.00e+00,6.00e+00,6.00e+00,9.00e+00,2.00e+00,0.00e+00,2.00e+00,1.00e+00,3.00e+00,0.00e+00,2.00e+00,2.00e+00,0.00e+00,5.90e+01,6.50e+01,4.00e+00,6.00e+00,5.00e+00,6.00e+00,7.00e+00,2.7100e+02,0.00e+00
40,8.80e+01,4.4100e+02,1.80e+01,4.00e+00,1.40e+01,1.90e+01,2.00e+00,9.00e+00,1.90e+01,0.00e+00,1.00e+00,2.00e+00,3.00e+00,0.00e+00,1.00e+00,1.00e+00,2.50e+01,5.00e+00,1.10e+01,1.00e+01,1.90e+01,3.00e+00,3.00e+00,7.00e+00,0.00e+00,4.70e+01,0.00e+00
50,1.20e+01,2.70e+01,3.4500e+02,7.00e+00,1.00e+01,3.00e+00,2.00e+00,4.00e+00,8.00e+00,3.00e+00,0.00e+00,1.00e+00,4.00e+00,4.00e+00,1.00e+00,0.00e+00,5.00e+00,3.00e+00,0.00e+00,4.00e+00,2.30e+01,8.00e+00,2.00e+00,1.00e+01,6.00e+00,1.20e+01,0.00e+00
60,1.00e+00,6.00e+00,1.20e+01,2.0200e+02,1.00e+00,0.00e+00,1.00e+00,3.00e+00,1.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.60e+01,0.00e+00,0.00e+00,0.00e+00,2.00e+00,0.00e+00,4.00e+00
1140,3.00e+01,3.20e+01,1.30e+01,3.00e+00,5.0400e+02,2.30e+01,7.00e+00,7.00e+01,8.00e+00,5.00e+00,0.00e+00,4.00e+00,1.00e+01,6.00e+00,2.00e+00,2.00e+00,1.00e+01,0.00e+00,1.30e+01,1.40e+01,1.00e+00,8.00e+00,1.00e+00,2.00e+00,2.00e+00,3.10e+01,0.00e+00
1160,3.00e+01,4.00e+00,0.00e+00,0.00e+00,9.00e+00,1.0180e+03,1.00e+00,7.00e+00,2.00e+01,1.00e+01,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.00e+00,1.00e+00,0.00e+00,9.00e+00,1.60e+01,4.00e+00,5.00e+00,0.00e+00,1.00e+00,0.00e+00,4.90e+01,0.00e+00
1180,2.40e+01,9.00e+00,1.00e+00,1.00e+00,1.10e+01,3.00e+00,1.1100e+02,9.00e+00,1.20e+01,2.00e+00,0.00e+00,0.00e+00,3.00e+00,1.00e+00,1.00e+00,0.00e+00,4.00e+00,1.00e+00,2.00e+00,7.00e+00,1.00e+00,6.00e+00,0.00e+00,3.00e+00,1.00e+00,1.60e+01,0.00e+00
1280,6.60e+01,2.60e+01,7.00e+00,2.00e+00,7.50e+01,9.00e+00,6.00e+00,8.4600e+02,1.2100e+02,2.50e+01,0.00e+00,4.10e+01,4.00e+01,2.10e+01,7.00e+00,2.00e+00,4.10e+01,9.00e+00,1.10e+01,1.90e+01,2.00e+00,1.50e+01,5.00e+00,2.00e+01,7.00e+00,3.80e+01,0.00e+00
1281,4.90e+01,1.60e+01,6.00e+00,3.00e+00,1.60e+01,2.30e+01,1.20e+01,1.0400e+02,2.5500e+02,1.00e+00,1.00e+00,1.60e+01,8.00e+00,6.00e+00,1.00e+00,1.00e+00,1.10e+01,3.00e+00,7.00e+00,1.00e+01,6.00e+00,1.20e+01,1.00e+00,9.00e+00,2.00e+00,4.20e+01,0.00e+00
1300,2.40e+01,5.00e+00,3.00e+00,0.00e+00,7.00e+00,1.00e+00,2.00e+00,2.70e+01,1.00e+00,1.3460e+03,1.00e+00,4.00e+00,3.00e+00,7.00e+00,0.00e+00,5.00e+00,3.00e+00,0.00e+00,5.00e+00,1.10e+01,1.00e+00,1.20e+01,2.00e+00,1.20e+01,7.00e+00,2.50e+01,0.00e+00
1301,2.00e+00,4.00e+00,2.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.00e+00,5.00e+00,2.00e+00,2.0200e+02,1.00e+00,2.00e+00,5.00e+00,0.00e+00,0.00e+00,2.00e+00,1.00e+00,0.00e+00,2.00e+00,1.00e+00,3.00e+00,1.00e+00,4.00e+00,0.00e+00,1.00e+00,0.00e+00
1302,2.10e+01,5.00e+00,3.00e+00,0.00e+00,5.00e+00,0.00e+00,2.00e+00,5.30e+01,2.20e+01,0.00e+00,0.00e+00,5.2600e+02,2.10e+01,5.00e+00,3.00e+00,3.00e+00,1.20e+01,3.00e+00,4.00e+00,5.00e+00,1.00e+00,7.00e+00,5.00e+00,2.70e+01,1.00e+00,1.30e+01,0.00e+00
1320,2.70e+01,5.00e+00,6.00e+00,1.00e+00,5.00e+00,3.00e+00,1.00e+00,5.90e+01,1.30e+01,4.00e+00,1.00e+00,6.00e+00,5.8600e+02,5.20e+01,3.00e+01,4.00e+00,4.00e+01,4.00e+00,4.00e+00,1.70e+01,1.00e+00,2.30e+01,2.20e+01,2.20e+01,1.00e+01,2.60e+01,0.00e+00
1560,2.30e+01,1.00e+00,7.00e+00,0.00e+00,4.00e+00,0.00e+00,1.00e+00,9.00e+00,3.00e+00,2.00e+00,1.00e+00,8.00e+00,3.60e+01,1.1070e+03,5.20e+01,4.00e+00,8.30e+01,2.00e+00,4.00e+00,1.10e+01,1.00e+00,3.30e+01,6.10e+01,1.30e+01,3.70e+01,1.90e+01,0.00e+00
1940,8.00e+00,3.00e+00,1.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.00e+00,0.00e+00,2.00e+00,0.00e+00,4.00e+00,2.10e+01,5.60e+01,1.1100e+03,1.00e+00,3.20e+01,7.00e+00,1.00e+00,5.00e+00,0.00e+00,5.00e+00,1.10e+01,2.00e+00,1.30e+01,6.00e+00,0.00e+00
2060,2.20e+01,3.00e+00,0.00e+00,1.00e+00,1.00e+00,1.00e+00,0.00e+00,6.00e+00,0.00e+00,1.00e+00,1.00e+00,4.00e+00,3.00e+00,4.00e+00,0.00e+00,1.3400e+02,5.00e+00,3.00e+00,1.00e+00,5.00e+00,0.00e+00,8.00e+00,3.00e+00,6.00e+00,2.00e+00,2.70e+01,0.00e+00
2220,3.20e+01,5.00e+00,3.00e+00,1.00e+00,1.30e+01,3.00e+00,1.00e+00,2.70e+01,1.20e+01,3.00e+00,2.00e+00,9.00e+00,3.90e+01,7.50e+01,4.70e+01,7.00e+00,1.0290e+03,1.00e+01,4.00e+00,6.00e+00,2.00e+00,3.50e+01,4.30e+01,2.00e+01,3.70e+01,3.30e+01,0.00e+00
2280,1.00e+01,0.00e+00,3.00e+00,0.00e+00,2.00e+00,0.00e+00,1.00e+00,7.00e+00,0.00e+00,1.00e+00,0.00e+00,3.00e+00,5.00e+00,3.00e+00,6.00e+00,0.00e+00,1.40e+01,1.4900e+02,2.00e+00,6.00e+00,0.00e+00,1.20e+01,7.00e+00,8.00e+00,5.00e+00,3.00e+00,0.00e+00
2403,1.0600e+02,1.60e+01,0.00e+00,0.00e+00,8.00e+00,7.00e+00,4.00e+00,2.00e+00,2.00e+00,4.00e+00,0.00e+00,3.00e+00,5.00e+00,2.00e+00,4.00e+00,4.00e+00,5.00e+00,0.00e+00,9.8100e+02,7.30e+01,2.00e+00,8.00e+00,1.00e+00,8.00e+00,2.00e+00,1.8100e+02,0.00e+00
2462,1.2100e+02,2.10e+01,1.00e+00,0.00e+00,7.00e+00,1.20e+01,2.00e+00,8.00e+00,7.00e+00,4.00e+00,0.00e+00,2.00e+00,6.00e+00,5.00e+00,0.00e+00,5.00e+00,7.00e+00,1.00e+00,1.10e+02,9.0100e+02,4.00e+00,1.40e+01,1.00e+00,2.00e+00,2.00e+00,1.8900e+02,0.00e+00
2522,4.00e+00,1.80e+01,3.30e+01,1.60e+01,4.00e+00,7.00e+00,2.00e+00,7.00e+00,2.20e+01,2.00e+00,0.00e+00,2.00e+00,1.00e+00,1.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,1.10e+01,2.7200e+02,0.00e+00,0.00e+00,7.00e+00,0.00e+00,1.60e+01,0.00e+00
