Model,Accuracy,Precision,Recall,F1 Score
Voting (Word Bagging + CNN),0.71,0.70,0.71,0.72
Multimodal Training,0.6361,0.6447,0.6361,0.6336
Separate Training and Fusion,0.8927,0.8919,0.8927,0.8917
